Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
Ant-Man,Buena Vista,Action / Adventure,117,PG-13,130000000,339243000
Home (2015),Fox,Animation,94,PG,135000000,177397510
Hotel Transylvania 2,Sony / Columbia,Animation,89,PG,80000000,169700110
Fifty Shades of Grey,Universal,Romance,125,R,40000000,166167230
The SpongeBob Movie:Sponge Out of Water,Paramount,Animation,93,PG,74000000,162994032
Straight Outta Compton,Universal,Drama,147,R,28000000,40437206
San Andreas,Warner Bros.,Action,114,PG-13,110000000,318800000
Mad Max:Fury Road,Warner Bros.,Sci-Fi Action,120,R,150000000,153636354
Daddy's Home,Paramount,Comedy,96,PG-13,,90003255
The Divergent Series:Insurgent,Lionsgate/Summit,Action / Adventure,119,PG-13,110000000,167097257
The Peanuts Movie,Fox,Animation,93,G,99000000,130178411
Kingsman:The Secret Service,Fox,Action / Adventure,129,R,81000000,286089822
The Good Dinosaur,Buena Vista,Animation,100,PG,,208839027
Spy,Fox,Comedy,120,R,65000000,124840507
Trainwreck,Universal,Comedy,125,R,35000000,110212700
Creed,Warner Bros.,Drama,133,PG-13,35000000,63800000
Tomorrowland,Buena Vista,Sci-Fi,130,PG,190000000,115718000
Get Hard,Warner Bros.,Comedy,100,R,40000000,21400000
Terminator:Genisys,Paramount,Action,126,PG-13,155000000,350842581
Taken 3,Fox,Action,109,PG-13,48000000,237222717
Sisters,Universal,Comedy,118,R,30000000,17966408
Alvin and the Chipmunks:The Road Chip,Fox,Family Comedy,86,PG,,85886987
Maze Runner:The Scorch Trials,Fox,Action / Adventure,131,PG-13,61000000,230627911
Ted 2,Universal,Comedy,115,R,68000000,135215348
Goosebumps,Sony / Columbia,Horror Comedy,103,PG,58000000,80080379
Pixels,Sony / Columbia,Action Comedy,105,PG-13,88000000,78747585
Paddington,Weinstein / Dimension,Family,95,PG,55000000,76271832
The Intern,Warner Bros.,Comedy,121,PG-13,35000000,118800000
Bridge of Spies,Buena Vista,Thriller,140,PG-13,40000000,93164594
Paul Blart:Mall Cop 2,Sony / Columbia,Comedy,94,PG,30000000,36550035
The Big Short,Paramount,Drama,130,R,28000000,63086636
War Room,TriStar,Drama,120,PG,3000000,
Magic Mike XXL,Warner Bros.,Comedy / Drama,115,R,,56500000
The Visit,Universal,Horror,94,PG-13,5000000,33243957
The Wedding Ringer,Sony / Screen Gems,Comedy,101,R,23000000,15339669
Black Mass,Warner Bros.,Crime Drama,122,R,53000000,37200000
Vacation,Warner Bros. (New Line),Comedy,99,R,31000000,46000000
The Perfect Guy,Sony / Screen Gems,Thriller,100,PG-13,12000000,3245738
Joy,Fox,Comedy / Drama,124,PG-13,60000000,44682827
Fantastic Four,Fox,Action / Adventure,100,PG-13,120000000,111860048
The Hateful Eight,Weinstein Company,Western,167,R,44000000,101642701
Focus (2015),Warner Bros.,Comedy,104,R,,105200000
Southpaw,Weinstein Company,Drama,123,R,30000000,39548874
Insidious Chapter 3,Focus Features,Horror,97,PG-13,10000000,60765331
Poltergeist (2015),Fox,Horror,93,PG-13,35000000,48012869
Jupiter Ascending,Warner Bros.,Sci-Fi,127,PG-13,176000000,47387723
Sicario,Lionsgate,Action Drama,121,R,30000000,37973463
The Man From U.N.C.L.E.,Warner Bros.,Action,116,PG-13,75000000,64400000
Spotlight,Open Road Films,Drama,128,R,,43290697
"McFarland, USA",Buena Vista,Sports Drama,128,PG,,1227649
The Gift (2015),STX Entertainment,Thriller,108,R,5000000,15191388
Everest (2015),Universal,Thriller,121,PG-13,55000000,43482270
The Night Before,Sony / Columbia,Comedy,101,R,25000000,9348624
Krampus,Universal,Horror Comedy,98,PG-13,15000000,18823232
Max (2015),Warner Bros.,Family,111,PG,20000000,42656255
The Age of Adaline,Lionsgate,Drama,112,PG-13,,23033500
Brooklyn,Fox Searchlight,Drama,111,PG-13,,23753398
The Longest Ride,Fox,Romance,139,PG-13,34000000,25498698
The Boy Next Door,Universal,Thriller,91,R,4000000,17002475
Pan,Warner Bros.,Fantasy,111,PG,150000000,35088320
